W219-VPX30906_IV_1.dat
Hamamatsu MAIN ATLAS12EC W219 VPX30906
whatever
Fri, Dec 6, 2019, 11:21:30 AM
IV
Simon Fraser University	Keithley 2410	
Temperature: 9.5	Humidity: 3.7
2 51
Voltage[V] Current[nA]
0000000.00	0000002.12
-000010.00	-000029.85
-000020.00	-000039.19
-000030.00	-000044.60
-000040.00	-000046.75
-000050.00	-000048.12
-000060.00	-000049.07
-000070.00	-000049.74
-000080.00	-000050.27
-000090.00	-000050.60
-000100.00	-000051.04
-000110.00	-000051.44
-000120.00	-000051.85
-000130.00	-000051.86
-000140.00	-000052.11
-000150.00	-000052.56
-000160.00	-000052.68
-000170.00	-000053.04
-000180.00	-000053.40
-000190.00	-000053.63
-000200.00	-000055.73
-000210.00	-000057.68
-000220.00	-000074.61
-000230.00	-000118.64
-000240.00	-000187.53
-000250.00	-000307.79
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
