W132-VPX27227_IV_2.dat
Hamamatsu ATLAS12EC W132 VPX27227
whatever
Thu, Oct 17, 2019, 4:07:26 PM
IV
Cambridge	Keithley 2410	
Temperature: 18.9	Humidity: 6.1
2 51
Voltage[V] Current[nA]
0000000.00	0000001.69
-000010.00	-000029.25
-000020.00	-000037.39
-000030.00	-000043.67
-000040.00	-000047.81
-000050.00	-000050.90
-000060.00	-000053.13
-000070.00	-000054.68
-000080.00	-000056.37
-000090.00	-000057.84
-000100.00	-000059.51
-000110.00	-000061.39
-000120.00	-000064.29
-000130.00	-000068.03
-000140.00	-000072.69
-000150.00	-000078.27
-000160.00	-000084.49
-000170.00	-000090.43
-000180.00	-000097.95
-000190.00	-000105.36
-000200.00	-000111.92
-000210.00	-000118.65
-000220.00	-000125.89
-000230.00	-000134.96
-000240.00	-000142.97
-000250.00	-000150.11
-000260.00	-000162.42
-000270.00	-000170.40
-000280.00	-000187.53
-000290.00	-000198.64
-000300.00	-000210.72
-000310.00	-000231.88
-000320.00	-000252.29
-000330.00	-000265.41
-000340.00	-000309.20
-000350.00	-000311.20
-000360.00	-000345.19
-000370.00	-000379.57
-000380.00	-000404.03
-000390.00	-000413.15
-000400.00	-000491.53
-000410.00	-000534.77
-000420.00	-000537.96
-000430.00	-000597.42
-000440.00	-000591.53
-000450.00	-000640.36
-000460.00	-000720.79
-000470.00	-000816.32
-000480.00	-001022.68
0000000.00	0000000.00
0000000.00	0000000.00
