W134-VPX27227_IV_2.dat
Hamamatsu ATLAS12EC W134 VPX27227
whatever
Thu, Oct 17, 2019, 1:40:28 PM
IV
Cambridge	Keithley 2410	
Temperature: 12.7	Humidity: 3.3
2 51
Voltage[V] Current[nA]
0000000.00	0000001.76
-000010.00	-000028.02
-000020.00	-000036.75
-000030.00	-000043.12
-000040.00	-000047.19
-000050.00	-000049.54
-000060.00	-000050.73
-000070.00	-000051.79
-000080.00	-000052.57
-000090.00	-000052.88
-000100.00	-000053.45
-000110.00	-000053.84
-000120.00	-000054.17
-000130.00	-000054.51
-000140.00	-000054.73
-000150.00	-000055.12
-000160.00	-000055.44
-000170.00	-000055.89
-000180.00	-000055.99
-000190.00	-000056.36
-000200.00	-000056.79
-000210.00	-000057.04
-000220.00	-000057.58
-000230.00	-000058.03
-000240.00	-000058.87
-000250.00	-000059.53
-000260.00	-000060.85
-000270.00	-000062.26
-000280.00	-000065.64
-000290.00	-000102.94
-000300.00	-000310.23
-000310.00	-000760.63
-000320.00	-001362.55
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
0000000.00	0000000.00
