W132-VPX27227_CV_1.dat
Hamamatsu ATLAS12EC W132 VPX27227
whatever
Thu, Oct 17, 2019, 3:58:18 PM
CV
Cambridge	Keithley 2410, WayneKerr 6440B	
Temperature: 19.8	Humidity: 9.1
3 51
Voltage[V] Capacitance[pF] Resistance[kOhm]
0000000.00	0103120.00	0000000.01
-000010.00	0037320.00	0000000.01
-000020.00	0025030.00	0000000.01
-000030.00	0016950.00	0000000.02
-000040.00	0013120.00	0000000.02
-000050.00	0010850.00	0000000.03
-000060.00	0009450.00	0000000.04
-000070.00	0008430.00	0000000.04
-000080.00	0007690.00	0000000.04
-000090.00	0007120.00	0000000.04
-000100.00	0006640.00	0000000.05
-000110.00	0006240.00	0000000.03
-000120.00	0005880.00	0000000.03
-000130.00	0005620.00	0000000.04
-000140.00	0005380.00	0000000.04
-000150.00	0005180.00	0000000.03
-000160.00	0004980.00	0000000.03
-000170.00	0004800.00	0000000.04
-000180.00	0004660.00	0000000.04
-000190.00	0004540.00	0000000.05
-000200.00	0004400.00	0000000.03
-000210.00	0004300.00	0000000.03
-000220.00	0004170.00	0000000.03
-000230.00	0004080.00	0000000.04
-000240.00	0004010.00	0000000.03
-000250.00	0003910.00	0000000.03
-000260.00	0003830.00	0000000.03
-000270.00	0003740.00	0000000.03
-000280.00	0003680.00	0000000.03
-000290.00	0003610.00	0000000.03
-000300.00	0003570.00	0000000.03
-000310.00	0003510.00	0000000.03
-000320.00	0003510.00	0000000.02
-000330.00	0003450.00	0000000.03
-000340.00	0003450.00	0000000.04
-000350.00	0003460.00	0000000.03
-000360.00	0003460.00	0000000.03
-000370.00	0003450.00	0000000.03
-000380.00	0003470.00	0000000.03
-000390.00	0003460.00	0000000.03
-000400.00	0003430.00	0000000.03
-000410.00	0003440.00	0000000.03
-000420.00	0003440.00	0000000.03
-000430.00	0003460.00	0000000.02
-000440.00	0003420.00	0000000.03
-000450.00	0003430.00	0000000.03
-000460.00	0003450.00	0000000.03
-000470.00	0003430.00	0000000.03
-000480.00	0003450.00	0000000.03
-000490.00	0003460.00	0000000.02
-000500.00	0003440.00	0000000.02
