W192-VPX30905_IV_1.dat
Hamamatsu MAIN ATLAS12EC W192 VPX30905
whatever
Fri, Dec 6, 2019, 2:09:12 PM
IV
Simon Fraser University	Keithley 2410	
Temperature: 18.7	Humidity: 11.4
2 51
Voltage[V] Current[nA]
0000000.00	0000002.56
-000010.00	-000028.33
-000020.00	-000032.78
-000030.00	-000036.96
-000040.00	-000040.93
-000050.00	-000043.56
-000060.00	-000046.61
-000070.00	-000049.12
-000080.00	-000051.70
-000090.00	-000053.55
-000100.00	-000054.94
-000110.00	-000055.83
-000120.00	-000056.87
-000130.00	-000058.02
-000140.00	-000058.44
-000150.00	-000059.12
-000160.00	-000059.59
-000170.00	-000061.04
-000180.00	-000062.41
-000190.00	-000064.35
-000200.00	-000066.86
-000210.00	-000069.35
-000220.00	-000070.92
-000230.00	-000072.60
-000240.00	-000073.71
-000250.00	-000074.49
-000260.00	-000075.58
-000270.00	-000076.43
-000280.00	-000076.90
-000290.00	-000077.61
-000300.00	-000078.25
-000310.00	-000078.53
-000320.00	-000079.51
-000330.00	-000080.27
-000340.00	-000080.82
-000350.00	-000081.01
-000360.00	-000081.29
-000370.00	-000081.83
-000380.00	-000082.28
-000390.00	-000082.81
-000400.00	-000083.48
-000410.00	-000084.01
-000420.00	-000084.44
-000430.00	-000084.77
-000440.00	-000085.58
-000450.00	-000085.57
-000460.00	-000086.26
-000470.00	-000086.49
-000480.00	-000087.03
-000490.00	-000087.49
-000500.00	-000087.58
