W213-VPX30906_IV_1.dat
Hamamatsu MAIN ATLAS12EC W213 VPX30906
whatever
Fri, Dec 6, 2019, 12:50:15 PM
IV
Simon Fraser University	Keithley 2410	
Temperature: 18.6	Humidity: 10.5
2 51
Voltage[V] Current[nA]
0000000.00	0000002.43
-000010.00	-000026.85
-000020.00	-000032.81
-000030.00	-000038.31
-000040.00	-000042.72
-000050.00	-000045.63
-000060.00	-000047.60
-000070.00	-000048.83
-000080.00	-000049.83
-000090.00	-000050.37
-000100.00	-000051.13
-000110.00	-000051.42
-000120.00	-000051.75
-000130.00	-000052.43
-000140.00	-000052.68
-000150.00	-000053.52
-000160.00	-000053.45
-000170.00	-000054.42
-000180.00	-000055.11
-000190.00	-000055.92
-000200.00	-000057.90
-000210.00	-000059.30
-000220.00	-000061.25
-000230.00	-000062.28
-000240.00	-000063.17
-000250.00	-000064.13
-000260.00	-000064.53
-000270.00	-000065.26
-000280.00	-000065.49
-000290.00	-000066.40
-000300.00	-000066.79
-000310.00	-000066.91
-000320.00	-000067.77
-000330.00	-000068.27
-000340.00	-000068.75
-000350.00	-000068.90
-000360.00	-000069.33
-000370.00	-000070.14
-000380.00	-000074.10
-000390.00	-000077.84
-000400.00	-000084.44
-000410.00	-000092.08
-000420.00	-000104.72
-000430.00	-000122.20
-000440.00	-000145.34
-000450.00	-000181.34
-000460.00	-000229.51
-000470.00	-000299.54
-000480.00	-000381.67
-000490.00	-000489.33
-000500.00	-000624.94
